gene_identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-value adjusted
MSTRG.23173	1282.1973	2.0855	0.1904	138.4539	8.1434E-30	1.5279E-28
MSTRG.3706	795.6204	3.9614	0.5648	135.8869	2.9123E-29	5.3144E-28
MSTRG.23866	1303.0028	1.8030	0.1515	135.4008	3.7069E-29	6.7234E-28
MSTRG.15813	458.0572	1.1064	0.1395	134.5743	5.5870E-29	1.0057E-27
MSTRG.20503	36.3975	-8.1170	1.2161	134.0268	7.3314E-29	1.3099E-27
MSTRG.8841	44.5006	4.8677	0.5774	128.3825	1.2068E-27	2.0406E-26
MSTRG.15024	471.9138	2.8487	0.2557	128.0587	1.4171E-27	2.3878E-26
MSTRG.2755	105.7221	11.0274	1.3765	124.6796	7.5761E-27	1.2249E-25
MSTRG.1946	133.8153	-2.8140	0.3555	124.6025	7.8717E-27	1.2692E-25
MSTRG.13541	20.6041	-4.1385	1.3643	121.9377	2.9518E-26	4.6560E-25
MSTRG.2910	80.5806	-1.0102	1.7581	115.9726	5.6843E-25	8.3916E-24
MSTRG.20359	438.3822	-0.0034	0.2459	115.1402	8.5882E-25	1.2532E-23
MSTRG.13140	13.9470	-0.1055	1.7753	114.2824	1.3139E-24	1.8965E-23
MSTRG.296	103.7657	-3.0379	0.3232	109.9039	1.1508E-23	1.5784E-22
MSTRG.1816	77.2539	0.0507	0.4918	106.9526	4.9669E-23	6.6263E-22
MSTRG.27655	71.9145	0.5186	0.2448	103.2014	3.1844E-22	4.0541E-21
MSTRG.15754	350.1917	1.7695	0.3127	102.9795	3.5543E-22	4.5124E-21
MSTRG.19132	23731.6131	0.1543	0.1592	102.1868	5.2630E-22	6.6079E-21
MSTRG.98	6442.8319	1.3240	0.1551	93.8033	3.3380E-20	3.7373E-19
MSTRG.27091	104.7654	1.1733	0.2884	93.2937	4.2952E-20	4.7711E-19
MSTRG.23587	111.8250	0.7134	0.2912	92.5965	6.0644E-20	6.6838E-19
MSTRG.17134	70.1379	-2.8550	0.3872	92.1073	7.7246E-20	8.4667E-19
MSTRG.24868	3272.3171	-0.7706	0.0974	89.3521	3.0180E-19	3.1771E-18
MSTRG.26760	313.7498	-1.2319	0.2896	88.7627	4.0393E-19	4.2336E-18
MSTRG.19897	186.4034	0.2697	0.1838	87.4481	7.7374E-19	7.9634E-18
MSTRG.82	806.5519	1.7322	0.2072	86.7061	1.1166E-18	1.1370E-17
MSTRG.8776	73.1655	2.2300	0.2902	86.0354	1.5556E-18	1.5647E-17
MSTRG.26116	97.7660	2.0596	0.4224	85.9794	1.5992E-18	1.6053E-17
MSTRG.21159	62.5262	-7.3838	1.1383	84.7375	2.9545E-18	2.9096E-17
MSTRG.17561	430.5759	0.2994	0.1283	82.9307	7.2157E-18	6.9573E-17
MSTRG.15769	101.1093	-0.9335	0.2627	82.7918	7.7281E-18	7.4394E-17
MSTRG.19952	122.7310	-0.4923	0.3752	81.8926	1.2051E-17	1.1426E-16
MSTRG.15084	41.6491	0.7907	0.5317	80.8776	1.9897E-17	1.8578E-16
MSTRG.20569	11711.9539	1.5130	0.1729	80.3559	2.5745E-17	2.3891E-16
