Gene identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-adjusted
MSTRG.512	397.3273	0.0491	0.1847	51.0997	4.6586E-11	2.5910E-10
MSTRG.11862	655.5843	-0.1826	0.1803	51.0981	4.6622E-11	2.5924E-10
MSTRG.347	79.2677	-0.6463	0.2977	51.0821	4.6989E-11	2.6122E-10
MSTRG.14838	1’739.5900	-0.4272	0.1823	51.0649	4.7388E-11	2.6338E-10
MSTRG.23000	3’963.4184	0.5484	0.0983	51.0602	4.7498E-11	2.6393E-10
ENSG00000186056.10	73.7437	1.4254	0.3587	51.0460	4.7828E-11	2.6570E-10
ENSG00000197808.12	17.8614	3.3376	0.9842	51.0428	4.7905E-11	2.6607E-10
ENSG00000261087.1	339.8725	1.2226	0.2315	51.0348	4.8093E-11	2.6704E-10
MSTRG.27398	14.9420	0.6359	0.8682	51.0033	4.8842E-11	2.7114E-10
MSTRG.12168	9’337.3234	0.5058	0.1478	51.0009	4.8900E-11	2.7140E-10
MSTRG.23751	14.9710	-1.0053	0.7940	50.9989	4.8947E-11	2.7160E-10
MSTRG.23337	6’975.2309	0.6752	0.0956	50.9964	4.9006E-11	2.7187E-10
MSTRG.23174	13’345.3853	0.0501	0.1402	50.9904	4.9153E-11	2.7261E-10
MSTRG.22918	13’572.7352	0.8713	0.1384	50.9874	4.9224E-11	2.7295E-10
MSTRG.7844	57’103.1698	0.5004	0.1525	50.9698	4.9652E-11	2.7526E-10
MSTRG.3673	9’433.4025	0.2860	0.1304	50.9532	5.0056E-11	2.7743E-10
MSTRG.2273	1’521.4077	-0.7142	0.2147	50.9460	5.0234E-11	2.7835E-10
MSTRG.22490	811.0152	0.6500	0.1375	50.9448	5.0264E-11	2.7845E-10
MSTRG.14471	2’703.5569	-0.3326	0.1108	50.9288	5.0660E-11	2.8059E-10
MSTRG.16158	4’077.1337	0.4881	0.0992	50.9082	5.1174E-11	2.8337E-10
MSTRG.12792	4’594.8256	-0.0899	0.1208	50.8998	5.1386E-11	2.8448E-10
MSTRG.6588	117.3180	0.3039	0.2949	50.8796	5.1898E-11	2.8724E-10
MSTRG.24341	9’179.9040	0.3297	0.1340	50.8753	5.2008E-11	2.8779E-10
MSTRG.18513	541.2718	0.1430	0.1794	50.8640	5.2295E-11	2.8931E-10
MSTRG.25247	337.8905	0.5876	0.2138	50.8587	5.2431E-11	2.8999E-10
MSTRG.25536	858.1190	0.8276	0.1681	50.8565	5.2489E-11	2.9025E-10
MSTRG.27751	152.6718	-1.6878	0.2452	50.8505	5.2645E-11	2.9104E-10
MSTRG.27942	5’831.5307	0.1377	0.1452	50.8478	5.2714E-11	2.9136E-10
